word,count,word1,word2,word3,word4,word5
和,2086,支气管结核(细菌学和组织学证实),气管结核(细菌学和组织学证实),喉结核(细菌学和组织学证实),声带结核(细菌学和组织学证实),肺门淋巴结结核(细菌学和组织学证实)
的,1255,舌尖及侧缘的恶性肿瘤,人类免疫缺陷病毒[HIV]相关的消瘦综合征,软腭的鼻咽后面恶性肿瘤,艾滋病相关的脑病,HIV感染的不典型皮肤淋巴细胞增生性疾病
后,1146,带状疱疹后坐骨神经痛,脑膜炎球菌感染后关节炎,带状疱疹后三叉神经痛,结核性脊柱后凸,腹膜后淋巴结结核
],602,肝阿米巴病[阿米巴肝脓肿],假膜性肠炎[难辨梭状芽孢杆菌肠炎],肺阿米巴病[阿米巴肺脓肿],肺结核球[肺结核瘤],结核性肺炎[干酪性肺炎]
[,602,肝阿米巴病[阿米巴肝脓肿],假膜性肠炎[难辨梭状芽孢杆菌肠炎],肺阿米巴病[阿米巴肺脓肿],肺结核球[肺结核瘤],结核性肺炎[干酪性肺炎]
-,525,阿盖尔-罗伯逊现象,复发型斑疹伤寒[Brill-Zinsser病],克-雅病,鸟-胞内复合分枝杆菌感染,华-弗综合征[Waterhouse-Friderichsen综合征]
，,492,肺结核瘤，痰镜检（+）,大肠杆菌感染，未指明部位,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）
(,463,"继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,单耐药)涂阳培阳",肺结核(显微镜检证实),肺结核(痰涂片及培养均证实),肺结核(仅痰涂片证实)
),462,"继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,单耐药)涂阳培阳",肺结核(显微镜检证实),肺结核(痰涂片及培养均证实),肺结核(仅痰涂片证实)
内,329,结核性子宫内膜炎,子宫内膜结核,胸内淋巴结结核,支气管内膜结核,宋内志贺菌痢疾
下,307,腋下淋巴结结核,颏下淋巴结结核,下颌结核,颌下淋巴结结核,膈下结核性脓肿
反应,290,反应性嗜酸粒细胞增多,类白血病样反应,过度惊吓反应症,反应性低血糖症[餐后低血糖症],梅毒血清反应阳性
引起,284,肿瘤引起的骨折,肿瘤引起的变形性骨炎,多发性骨髓瘤引起的肾小球疾患,肿瘤引起的脑积水,多发性骨髓瘤引起的变形性骨炎
、,268,妊娠合并内分泌、营养和代谢疾病,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,产褥期内分泌、营养和代谢疾病,分娩合并内分泌、营养和代谢疾病,妊娠合并先天性畸形、变形和染色体异常
不,249,不动杆菌属性败血症,百日咳肺不张,不定型志贺菌痢疾,醋酸钙不动杆菌感染,不动杆菌感染
与,239,与归类在他处的障碍或疾病有关的心理和行为因素,与产褥期有关的重度精神和行为障碍,与慢性炎症相关弥漫大B细胞淋巴瘤,与产褥期有关的轻度精神和行为障碍,与精神发育迟滞和刻板动作有关的多动障碍
形成,223,因子Ⅷ抗体形成,化脓性乙状窦血栓形成,垂体瘢痕形成,化脓性失状窦血栓形成,化脓性直窦血栓形成
