科右中旗巴仁哲里木镇00101,哈旦阿拉嘎查,152222101128
内蒙古兴安盟科右中旗铅矿管理区孟恩套力盖银铅矿社区委员会00755,孟恩套力盖银铅矿社区委员会,152222402102
,赛音温都尔嘎查,152222201132
内蒙古兴安盟乌兰浩特乌兰哈达镇混都冷嘎查7A135,霍林郭勒社区居委会,152201101117
内蒙古兴安盟科右中旗巴彦呼舒镇巴仁佈敦化嘎查00087,巴仁佈敦化嘎查,152222100133
内蒙古兴安盟科右中旗铜矿管理区科右中旗布敦化矿区工作部00025,科右中旗布敦化矿区工作部,152222403101
内蒙古兴安盟科右中旗哈日诺尔防火站,哈日诺尔防火站,152222503109
,巴彦淖尔嘎查委员会,152222502101
科右中旗巴彦淖尔苏木,广太号嘎查委员会,152222502103
内蒙古兴安盟科右中旗铜矿管理区科右中旗布敦化矿区工作部00164,,152222403101
科右中旗巴镇,,152222100001
归流河路11号,,152201005004
高力板镇二街,高力板社区第二居委会,152222104002
突泉县太平乡五星村,,152224006120
内蒙古兴安盟突泉县六户镇兴泉村00006,吐列毛杜农场第五生产队,152224012113
高力板镇,高力板社区第三居委会,152222104003
内蒙古兴安盟突泉县水泉镇德泉村,吐列毛杜农场第五生产队,152224005108
内蒙古兴安盟科右中旗巴仁哲里木镇哈旦阿拉嘎查,哈旦阿拉嘎查,152201002004
巴彦茫哈苏木巴彦温都尔嘎查,白彦温都尔嘎查,152222501108
内蒙古兴安盟科右中旗巴仁哲里木镇白彦扎拉嘎嘎查00002,白彦扎拉嘎嘎查,152222101134
内蒙古兴安盟科右中旗好腰苏木镇南白彦套海嘎查00149,南白彦套海嘎查,152222105126
内蒙古兴安盟科右中旗新佳木苏木巴音忙哈嘎查,巴音忙哈嘎查,152222201131
科右中旗白音淖尔苏木,白音塔拉嘎查委员会,152222502107
科右中旗巴彦淖尔苏木巴力久,巴力珠尔嘎查委员会,152222502108
,查干淖尔嘎查委员会,152222502106
科右中旗巴彦淖尔苏木,贵力斯台嘎查委员会,152222502104
科右中旗白音淖尔苏木,双榆树嘎查委员会,152222502102
内蒙古兴安盟科右中旗巴彦淖尔苏木哈吞乃苏莫嘎查委员会00202,哈吞乃苏莫嘎查委员会,152222502109
内蒙古兴安盟科右中旗吐列毛杜农场第五生产队,吐列毛杜农场第五生产队,152222100005
科右中旗代钦塔拉苏木,林场,152222200151
杜尔基镇,双榆树嘎查委员会,152222103136
内蒙古兴安盟科右中旗好腰苏木镇呼和努图嘎社区00001,呼和努图嘎社区,152222105101
